,count,prob
0,0,0.0007243433400952906
1,1,0.014885742639532804
2,2,0.019507630785920414
3,3,0.017474705383599104
4,4,0.008843217748788402
5,5,0.020781655403095702
6,6,0.03292508469472294
7,7,0.016883875960736965
8,8,0.014820899585693117
9,9,0.005949623636914083
10,10,0.006754939451606302
11,11,0.0101567353185798
12,12,0.014271345575631492
13,13,0.007744249049454156
14,14,0.020599972037271812
15,15,0.025128145572793196
16,16,0.009540393868010854
17,17,0.008249663471868457
18,18,0.004059030553326011
19,19,0.015270719413900574
20,20,0.002697911073053284
21,21,0.008597064480062054
22,22,0.0038416781998314034
23,23,0.013111011218753906
24,24,0.015997999029488136
25,25,0.012164069362286326
26,26,0.015649389600556708
27,27,0.0074565786295851776
28,28,0.015154416956053782
29,29,0.003713595549594871
30,30,0.011970196740797927
31,31,0.004080614421715299
32,32,0.007158334906220716
33,33,0.005400271554255336
34,34,0.009595297802666729
35,35,0.004515510260208585
36,36,0.005563365449253851
37,37,0.012642785480997024
38,38,0.00958631592284183
39,39,0.009583418066430736
40,40,0.007116045516848406
41,41,0.0033720075184625236
42,42,0.0073694892989234345
43,43,0.011788252774555722
44,44,0.026056292450397714
45,45,0.011641090559484413
46,46,0.012539469014545394
47,47,0.0066851430090249546
48,48,0.022769338836215576
49,49,0.010932842609617457
50,50,0.024194622219603387
51,51,0.01670133044785422
52,52,0.018240532491242235
53,53,0.010520678113468107
54,54,0.01844413805294535
55,55,0.007271633364483284
56,56,0.010552452994347618
57,57,0.016342485276994913
58,58,0.008566809744123835
59,59,0.011675942894455591
60,60,0.013044186117088092
61,61,0.0062746165937871455
62,62,0.006340580708275876
63,63,0.014549271618452184
64,64,0.004741411328712042
65,65,0.005314948051474561
66,66,0.00973306297026134
67,67,0.0017047335047484966
68,68,0.006606334440703958
69,69,0.00402962461480823
70,70,0.005792204874037294
71,71,0.002832027891788934
72,72,0.010429396960383107
73,73,0.0030937020873403665
74,74,0.00783506999248173
75,75,0.0042561689586959085
76,76,0.003620523119224851
77,77,0.002575804187273225
78,78,0.0020342857935578694
79,79,0.0013221775404518863
80,80,0.005192080858247845
81,81,0.004023838943961698
82,82,0.003730905542930535
83,83,0.003879143920230482
84,84,0.0023765282679353216
85,85,0.0016513661363588867
86,86,0.0036476941467093833
87,87,0.0010377953621737502
88,88,0.003265970869476515
89,89,0.0024577705600102107
90,90,0.0026312212385898493
91,91,0.0016369154743639946
92,92,0.006874769519627707
93,93,0.0018241655613680792
94,94,0.005290177050181119
95,95,0.0028975364237482804
96,96,0.0018182482779463805
97,97,0.0016998239735334531
98,98,0.00155070870767842
99,99,0.0008618346746215543
100,100,0.001015505257822371
101,101,0.004021098027542306
102,102,0.0009760575215940696
103,103,0.00134721374269414
104,104,0.0009759325283437079
105,105,0.0006125292804202072
106,106,0.0009341559146669635
107,107,0.0006199580006714205
108,108,0.0004746150420312386
109,109,0.0005463595219076837
110,110,0.0003012447462523442
111,111,0.00029270125771039705
112,112,0.0011654010080659669
113,113,0.0003628276156394898
114,114,0.0007712531901685733
115,115,0.0005692756963982802
116,116,0.0002781443245554417
117,117,0.00016007809361808767
118,118,0.000882369044062463
119,119,0.00022246029847093615
120,120,0.0006041599241163189
121,121,0.00048609432211481265
122,122,0.00029217158973790817
123,123,0.00027448054427056
124,124,0.00024996615980153763
125,125,0.0016624074711140205
126,126,0.006227192545163455
127,127,0.002907255534373722
128,128,0.0031637345038517304
129,129,0.0012195078940228695
130,130,0.004559602715663477
131,131,0.0011207884776601052
132,132,0.002970058349323239
133,133,0.0010110458346951302
134,134,0.0013493371011060577
135,135,0.0023429801489307078
136,136,0.0023294107880408206
137,137,0.001282540107573138
138,138,0.0009741661685170036
139,139,0.003732246095190711
140,140,0.00044721008340829765
141,141,0.0011103863757015609
142,142,0.00039921350718391215
143,143,0.0002087257974257665
144,144,0.00038235675461651807
145,145,0.000791171138486037
146,146,0.0004230835603764005
147,147,0.0004644483330619967
148,148,0.0023160837354348463
149,149,0.0003481743633093405
150,150,0.001826390229446151
151,151,0.00043883951622792196
152,152,0.0007488609062397758
153,153,0.0003310763873473602
154,154,0.0005903788338233738
155,155,0.00025617449353534905
156,156,0.000356144322352788
157,157,0.0008810879307393528
158,158,0.00019586844890875715
159,159,0.0004747374815420896
160,160,0.0002246746665996275
161,161,0.00016491715802093222
162,162,0.0010227225276420763
163,163,0.00012631453558882555
164,164,0.0007658462836870963
165,165,0.0001621939657936222
166,166,0.0001491600392880271
167,167,0.0002553644121657558
168,168,0.002673521109892955
169,169,0.00031388914449083545
170,170,0.001331148451395637
171,171,0.0006802174320526843
172,172,0.0009752526976882012
173,173,0.000709143763491639
174,174,0.002141128743299102
175,175,0.0005944579797398802
176,176,0.0017566191802746414
177,177,0.001247079912605256
178,178,0.00030356647542992927
179,179,0.0007139173765706895
180,180,0.0015165756333407863
181,181,0.0008971358028146609
182,182,0.0006728106775609067
183,183,0.0014202094719398947
184,184,0.0011006192319756262
185,185,0.0008487593303406805
186,186,0.00044839981205288206
187,187,0.00013581693031984715
188,188,0.00039998496949274995
189,189,0.0008333643486688547
190,190,0.0005700317992738204
191,191,0.0004663426968319652
192,192,0.0007873415771112568
193,193,0.0013976417569055257
194,194,0.0007274858365524796
195,195,0.00022045188933389215
196,196,0.0007316598947876834
197,197,0.00020472327169380168
198,198,0.00017922961611297996
199,199,0.0001875103094607204
200,200,0.00026211055204194153
201,201,0.00011780628145287742
202,202,0.0007398373646644862
203,203,0.0002497120087256085
204,204,0.0002853950969577969
205,205,0.00015095641005353688
