,count,prob
0,0,0.0007243433400952906
1,1,0.012452543334190776
2,2,0.023806247325853062
3,3,0.050168442025424066
4,4,0.07350788382665444
5,5,0.11295169689112833
6,6,0.10661417202914684
7,7,0.13208292803078903
8,8,0.1092182468507426
9,9,0.08495251516349037
10,10,0.08883948356460328
11,11,0.05057511138009305
12,12,0.05565688642582108
13,13,0.022974726037186997
14,14,0.0329834409082374
15,15,0.009941048180228899
16,16,0.013261105450751808
17,17,0.005865544797174386
18,18,0.004977140716701346
19,19,0.004091936713812058
20,20,0.001321540981382564
21,21,0.0018952749550249746
22,22,0.00029526765993069526
23,23,0.0005995619531213196
24,24,8.466559788879987e-05
25,25,8.887556046166737e-05
26,26,3.5827175534908875e-05
27,27,1.2310534293482337e-05
28,28,1.998289769245981e-05
29,29,1.2496925281116797e-06
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
