,count,prob
0,0,0.0
1,1,1.1271576454168899e-05
2,2,7.069740834204084e-05
3,3,0.013253484459622166
4,4,0.0011563001630744017
5,5,0.0031170715562624735
6,6,0.005136419992621827
7,7,0.022451408409817925
8,8,0.03328712977334461
9,9,0.04507886578576258
10,10,0.06005921377910849
11,11,0.08941450777816316
12,12,0.0650457888924515
13,13,0.06741713158201236
14,14,0.07009360818732774
15,15,0.09575532230122157
16,16,0.05872080005452232
17,17,0.045503903361825915
18,18,0.055126861727870506
19,19,0.02905613158935919
20,20,0.030718578490826667
21,21,0.04423931775846684
22,22,0.044878951122796315
23,23,0.06244208648569773
24,24,0.024158645469964487
25,25,0.013744984633065806
26,26,0.004947182766709177
27,27,0.008214106069717217
28,28,0.0037876840041337033
29,29,0.0020945956200808056
30,30,0.0005854767977454334
31,31,0.00019559260607110717
32,32,0.00013059229012476336
33,33,1.9910581896552276e-05
34,34,6.1538364537650015e-06
35,35,7.1831856483203e-05
36,36,6.081253518209288e-06
37,37,4.636815298080095e-07
38,38,1.8462955459628019e-06
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
