,count,prob
0,0,0.0007243433400952906
1,1,0.010177667465446337
2,2,0.03644120903589482
3,3,0.08558678148767522
4,4,0.10996397146689167
5,5,0.15646584583875525
6,6,0.13495604462342714
7,7,0.10314111673882029
8,8,0.09019927341850127
9,9,0.07513057986443755
10,10,0.05811281683453095
11,11,0.05359727827520919
12,12,0.035421551513614175
13,13,0.020158541162369037
14,14,0.01526986183637574
15,15,0.004815929352679795
16,16,0.00447016828520799
17,17,0.0031531883705847564
18,18,0.000808844151792713
19,19,0.0011127791156358652
20,20,0.0001798180660895516
21,21,9.655300334252445e-05
22,22,1.5836752610042344e-05
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
