,count,prob
0,0,0.0007243433400952906
1,1,0.010140404750340198
2,2,0.01903496743881132
3,3,0.07991532278921476
4,4,0.10275636941404818
5,5,0.14089348774978466
6,6,0.18469810806557332
7,7,0.11416359894396544
8,8,0.1302944952025924
9,9,0.08138901895637175
10,10,0.05685639789853043
11,11,0.044299969705865354
12,12,0.015630856422988917
13,13,0.010496262973875847
14,14,0.004832804398381257
15,15,0.0017731416069441468
16,16,0.0010933923671346364
17,17,0.0005750419842219246
18,18,0.00016690166359620173
19,19,0.00016735938690723328
20,20,5.5461534779196956e-05
21,21,1.930982634748765e-05
22,22,1.8711903337189906e-05
23,23,3.021983749797334e-06
24,24,3.5696958817352766e-07
25,25,5.357533517646244e-07
26,26,3.5696958817352766e-07
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
